study,model,temp,item,k,category,recent,n_valid,NCI,accuracy,modal,phat,modal_correct,key
S1-EN,Claude,0.5,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Claude,0.5,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.5,C-07,4,Priority,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.5,C-08,4,Priority,NA,28,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,C-09,4,Priority,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.5,C-10,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-02,4,Knowledge,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,A-06,4,Knowledge,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,A-09,4,Knowledge,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,B-01,4,Ethical,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,B-02,4,Ethical,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,B-03,4,Ethical,NA,29,0.818974374133001,0.9310344827586207,C,0.9310344827586207,1,C
S1-EN,Claude,1.0,B-04,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,1.0,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,B-07,4,Ethical,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,1.0,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,B-09,4,Ethical,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Claude,1.0,B-10,4,Ethical,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,C-01,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,C-02,4,Priority,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,C-03,4,Priority,NA,28,1.0,1.0,A,1.0,1,A
S1-EN,Claude,1.0,C-04,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,1.0,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Claude,1.0,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,1.0,C-07,4,Priority,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,1.0,C-08,4,Priority,NA,28,0.7041636107088363,0.8571428571428571,A,0.8571428571428571,1,A
S1-EN,Claude,1.0,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,1.0,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,B-03,4,Ethical,NA,30,1.0,0.0,A,1.0,0,C
S1-EN,GPT-4o,0.0,B-04,4,Ethical,NA,30,0.5593545503846536,0.7,A,0.7,1,A
S1-EN,GPT-4o,0.0,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.0,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,B-07,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.0,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,B-09,4,Ethical,NA,30,1.0,0.0,B,1.0,0,D
S1-EN,GPT-4o,0.0,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.0,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,GPT-4o,0.0,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.0,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.0,C-08,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.0,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.0,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,B-03,4,Ethical,NA,30,1.0,0.0,A,1.0,0,C
S1-EN,GPT-4o,0.5,B-04,4,Ethical,NA,30,0.5145247027726657,0.4,C,0.6,0,A
S1-EN,GPT-4o,0.5,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.5,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,B-07,4,Ethical,NA,30,0.8233203324892893,0.9333333333333333,C,0.9333333333333333,1,C
S1-EN,GPT-4o,0.5,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,B-09,4,Ethical,NA,30,0.7655022032053593,0.1,B,0.9,0,D
S1-EN,GPT-4o,0.5,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,0.5,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,GPT-4o,0.5,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.5,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.5,C-08,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,0.5,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,0.5,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-04,4,Knowledge,NA,30,0.7655022032053593,0.9,B,0.9,1,B
S1-EN,GPT-4o,1.0,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,B-03,4,Ethical,NA,30,1.0,0.0,A,1.0,0,C
S1-EN,GPT-4o,1.0,B-04,4,Ethical,NA,30,0.41166016624464463,0.4666666666666667,C,0.5,0,A
S1-EN,GPT-4o,1.0,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.0,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,B-07,4,Ethical,NA,30,0.6390359525563188,0.8,C,0.8,1,C
S1-EN,GPT-4o,1.0,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,B-09,4,Ethical,NA,30,0.674988789175823,0.16666666666666666,B,0.8333333333333334,0,D
S1-EN,GPT-4o,1.0,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,C-04,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.0,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,GPT-4o,1.0,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.0,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.0,C-08,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.0,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.0,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-04,4,Knowledge,NA,30,0.7655022032053593,0.9,B,0.9,1,B
S1-EN,GPT-4o,1.5,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,B-03,4,Ethical,NA,30,0.8233203324892893,0.06666666666666667,A,0.9333333333333333,0,C
S1-EN,GPT-4o,1.5,B-04,4,Ethical,NA,30,0.3308655359617677,0.6,A,0.6,1,A
S1-EN,GPT-4o,1.5,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.5,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,B-07,4,Ethical,NA,30,0.4838658001683068,0.7,C,0.7,1,C
S1-EN,GPT-4o,1.5,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,B-09,4,Ethical,NA,30,0.5092043699361368,0.23333333333333334,B,0.7333333333333333,0,D
S1-EN,GPT-4o,1.5,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,GPT-4o,1.5,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,GPT-4o,1.5,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.5,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.5,C-08,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,GPT-4o,1.5,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,GPT-4o,1.5,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-01,4,Knowledge,NA,22,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,B-03,4,Ethical,NA,30,1.0,0.0,A,1.0,0,C
S1-EN,Gemini,0.0,B-04,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.0,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,B-07,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.0,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,B-09,4,Ethical,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Gemini,0.0,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.0,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Gemini,0.0,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.0,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.0,C-08,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.0,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.0,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,B-03,4,Ethical,NA,30,1.0,0.0,A,1.0,0,C
S1-EN,Gemini,0.5,B-04,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,B-05,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.5,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,B-07,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.5,B-08,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,B-09,4,Ethical,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Gemini,0.5,B-10,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,0.5,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,0.5,C-05,4,Priority,NA,30,1.0,1.0,D,1.0,1,D
S1-EN,Gemini,0.5,C-06,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.5,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.5,C-08,4,Priority,NA,30,0.8945788498407339,0.9666666666666667,A,0.9666666666666667,1,A
S1-EN,Gemini,0.5,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Gemini,0.5,C-10,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,1.0,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,1.0,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,1.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,1.0,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Gemini,1.0,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,1.0,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Gemini,1.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
