item_uid,category,recent,k,key,gpt-4o_NCI,gpt-4o_acc,claude-opus-4.5_NCI,claude-opus-4.5_acc,gemini-2.5-flash-lite_NCI,gemini-2.5-flash-lite_acc
115_2026-PM-45,EthicalLegal,Y,4,B,1.0,1.0,1.0,1.0,0.692,0.842
115_2026-PM-72,EthicalLegal,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-10,Knowledge,Y,4,C,0.86,0.942,1.0,1.0,0.82,0.9
115_2026-AM-11,Knowledge,Y,4,A,1.0,1.0,1.0,1.0,0.641,0.817
115_2026-AM-15,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-18,Knowledge,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-19,Knowledge,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-20,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-24,Knowledge,Y,5,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-25,Knowledge,Y,5,A,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-26,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-28,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-29,Knowledge,Y,4,A,0.974,0.992,1.0,1.0,1.0,1.0
115_2026-AM-36,Knowledge,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-37,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-38,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-40,Knowledge,Y,4,D,0.859,0.908,1.0,1.0,0.848,0.925
115_2026-AM-41,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-44,Knowledge,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-45,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-47,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-49,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-51,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-53,Knowledge,Y,4,A,0.974,0.992,1.0,1.0,1.0,1.0
115_2026-AM-55,Knowledge,Y,4,C,1.0,1.0,1.0,1.0,0.683,0.775
115_2026-AM-56,Knowledge,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-57,Knowledge,Y,4,B,0.974,0.992,1.0,1.0,1.0,1.0
115_2026-AM-60,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-62,Knowledge,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-65,Knowledge,Y,4,A,0.919,0.042,1.0,1.0,1.0,1.0
115_2026-AM-68,Knowledge,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-69,Knowledge,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
107_2018-AM-81,Priority,N,5,E,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-AM-45,Priority,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-22,Priority,N,4,C,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-41,Priority,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-49,Priority,N,4,C,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-66,Priority,N,4,D,0.904,0.958,1.0,1.0,0.941,0.025
108_2019-PM-69,Priority,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
109_2020-AM-112,Priority,N,4,C,0.974,0.992,1.0,1.0,1.0,1.0
109_2020-AM-64,Priority,N,4,B,1.0,1.0,1.0,1.0,1.0,1.0
109_2020-PM-63,Priority,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
110_2021-AM-65,Priority,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
110_2021-AM-68,Priority,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
110_2021-PM-40,Priority,N,4,C,0.974,0.992,1.0,1.0,0.779,0.85
110_2021-PM-71,Priority,N,4,B,0.625,0.267,1.0,1.0,0.724,0.075
111_2022-AM-118,Priority,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
111_2022-AM-75,Priority,Y,4,D,0.974,0.992,1.0,1.0,1.0,1.0
111_2022-AM-92,Priority,Y,4,B,1.0,1.0,1.0,1.0,0.661,0.317
111_2022-PM-48,Priority,Y,4,A,0.921,0.975,1.0,0.0,1.0,1.0
111_2022-PM-70,Priority,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
111_2022-PM-97,Priority,Y,4,C,0.698,0.833,1.0,1.0,0.915,0.967
112_2023-AM-69,Priority,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
112_2023-AM-95,Priority,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
112_2023-PM-45,Priority,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
112_2023-PM-84,Priority,Y,5,C,1.0,1.0,1.0,1.0,1.0,1.0
113_2024-PM-60,Priority,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
114_2025-PM-56,Priority,Y,4,D,0.93,0.008,0.834,0.911,0.876,0.0
114_2025-PM-57,Priority,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-AM-59,Priority,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-PM-46,Priority,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
115_2026-PM-69,Priority,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
