question_id,category,scenario,option_A,option_B,option_C,option_D,intended_answer,nanda_domain
B-01,Ethical,"A competent 82-year-old patient with terminal pancreatic cancer refuses a nasogastric tube for nutrition, stating ""I've lived long enough."" The patient's adult children insist the nurse ""do everything possible."" The patient has no advance directive. What should the nurse do?","Honor the patient's refusal and document the decision, then discuss the family's concerns separately",Encourage the patient to reconsider for the sake of the family,Contact the ethics committee before taking any action,Insert the nasogastric tube as the family requests to prevent harm,A,Decisional Conflict
B-02,Ethical,"During a home visit in a jurisdiction where elder abuse reporting is mandatory only when there is reasonable suspicion of physical harm or neglect, a nurse discovers that a 78-year-old patient with mild dementia is being managed by a 50-year-old daughter who appears exhausted and admits to occasionally ""raising her voice"" at the patient. The patient is well-nourished, shows no physical signs of abuse, and states she feels safe. How should the nurse respond?",File a mandatory abuse report immediately based on the daughter's admission,"Assess caregiver burden, provide respite care resources, and continue monitoring",Confront the daughter about the behavior and warn of legal consequences,Arrange for immediate removal of the patient from the home,B,Caregiver Role Strain
B-03,Ethical,A 16-year-old patient requests that the nurse not disclose her pregnancy to her parents. She is medically stable and seeks prenatal care. Local law permits minors to consent to pregnancy-related care independently. Her parents are in the waiting room. What is the most appropriate action?,Respect the patient's confidentiality and provide prenatal care information,Inform the parents as they are legally responsible for a minor,Encourage the patient to tell her parents but respect her decision if she refuses,Delay care until the patient agrees to involve her parents,C,Readiness for Enhanced Decision-Making
B-04,Ethical,"A nurse discovers that a colleague has been documenting vital signs without actually measuring them. The colleague explains she is overwhelmed with her patient load and ""the patients are all stable anyway."" What should the nurse do first?",Verify the affected patients' current vital signs to ensure no clinical changes have been missed,Report the colleague to the nurse manager immediately,Speak directly with the colleague about the seriousness of falsifying records,File an anonymous report with the hospital compliance office,A,Moral Distress
B-05,Ethical,"A patient newly diagnosed with metastatic cancer asks the nurse, ""Am I going to die?"" The physician has not yet discussed prognosis with the patient. The nurse knows the prognosis is poor. How should the nurse respond?","Tell the patient the truth about the prognosis, as patients have a right to know","Redirect the patient by saying, ""Let's wait until the doctor comes to discuss this""","Acknowledge the patient's fear and explore what prompted the question, then facilitate a conversation with the physician",Reassure the patient that many people with cancer respond well to treatment,C,Anxiety
B-06,Ethical,A nurse working in the ICU is assigned a patient whose religious beliefs prohibit blood transfusions. The patient is hemorrhaging and hemoglobin is 5.2 g/dL. The patient is conscious and reaffirms refusal of blood products. The family agrees with the patient. What should the nurse do?,Respect the patient's decision and implement alternative interventions as ordered,Override the patient's wishes because the situation is life-threatening,Ask the hospital chaplain to counsel the patient about reconsidering,Contact the ethics committee to obtain a court order for transfusion,A,Decisional Conflict
B-07,Ethical,A nurse is caring for two patients who both need urgent pain medication. Patient X has a documented history of opioid use disorder and rates pain at 9/10. Patient Y has no such history and rates pain at 7/10. Both have PRN analgesic orders. How should the nurse prioritize?,Administer to Patient Y first because Patient X may be drug-seeking,Administer to Patient X first because the pain rating is higher,"Assess both patients' pain comprehensively and administer based on clinical findings, not history",Administer to both simultaneously by asking a colleague to assist,C,Acute Pain
B-08,Ethical,"A nurse notices that a clinical trial participant appears to not understand the consent form she signed. The patient speaks limited English and nods to everything the nurse says. The research coordinator says, ""She signed the form, so consent is obtained."" What should the nurse do?",Accept the research coordinator's judgment since consent was formally documented,Advocate for the patient by requesting a qualified interpreter to verify understanding,Withdraw the patient from the study without consulting the research team,Document the concern in the chart and continue with the trial procedures,B,Readiness for Enhanced Decision-Making
B-09,Ethical,A nurse working in a resource-limited rural clinic has only one remaining dose of a critical antibiotic. Two patients need it: a 5-year-old child with bacterial meningitis and a 70-year-old patient with severe pneumonia. Both conditions are life-threatening. No resupply is available for 12 hours. How should the nurse proceed?,Administer to the child because children have more life-years to gain,Administer to the patient with the higher probability of survival based on clinical assessment,Split the dose between both patients,Contact the physician for a triage decision rather than deciding independently,D,Moral Distress
B-10,Ethical,A nurse is caring for an undocumented immigrant who was brought to the emergency department after a workplace injury. The patient is afraid to provide personal information and asks if the nurse will report him to immigration authorities. Hospital policy does not require reporting immigration status. How should the nurse respond?,Inform the patient that the nurse is required to report all patient information to authorities,Reassure the patient that the focus is on providing medical care and that immigration status will not be reported,Refuse to provide care until the patient provides valid identification,Contact social work to assess the patient's legal status before treatment,B,Fear
C-01,Priority,"A nurse on a medical-surgical unit receives the following four requests simultaneously. Which patient should the nurse assess first?

Patient 1: Post-op day 1 appendectomy, requesting pain medication (pain 6/10)
Patient 2: Newly admitted pneumonia patient, SpO2 89% on room air
Patient 3: CHF patient reporting weight gain of 1.5 kg overnight
Patient 4: Diabetic patient whose lunch tray arrived 20 minutes ago, waiting for insulin",Patient 1 — Pain management is a nursing priority,Patient 2 — Acute hypoxemia requires immediate intervention,Patient 3 — Fluid overload may indicate decompensation,Patient 4 — Delayed insulin with food increases hyperglycemia risk,B,Impaired Gas Exchange
C-02,Priority,"During morning rounds, a nurse identifies the following three concerns for a single patient recovering from a stroke:

1. The patient has not voided in 10 hours
2. The patient is unable to swallow thin liquids without coughing
3. The patient has a stage 1 pressure injury on the sacrum

In what order should the nurse address these concerns?","2 → 1 → 3 (Aspiration risk, then urinary retention, then skin integrity)","1 → 2 → 3 (Urinary retention, then aspiration risk, then skin integrity)","3 → 2 → 1 (Skin integrity, then aspiration risk, then urinary retention)","1 → 3 → 2 (Urinary retention, then skin integrity, then aspiration risk)",A,Risk for Aspiration
C-03,Priority,"A charge nurse must assign four patients to a newly graduated nurse (3 months experience) and a senior nurse (12 years experience). Which assignment is most appropriate?

Patient A: Stable post-op day 3 hip replacement, planned discharge today
Patient B: Newly diagnosed leukemia, receiving first cycle of chemotherapy
Patient C: Stable type 2 diabetes, routine insulin management
Patient D: Post-cardiac catheterization 2 hours ago, on bedrest with femoral sheath",New nurse: A and C; Senior nurse: B and D,New nurse: A and D; Senior nurse: B and C,New nurse: B and C; Senior nurse: A and D,New nurse: C and D; Senior nurse: A and B,A,Risk for Complications
C-04,Priority,"A nurse receives shift report on four patients. Which patient should the nurse assess first?

Patient 1: 2 hours post-total knee replacement, pedal pulses present, moderate pain
Patient 2: Receiving IV vancomycin, reports redness and itching on the face and neck
Patient 3: Awaiting discharge, needs prescriptions reviewed and discharge teaching
Patient 4: Post-stroke day 3, scheduled for physical therapy in 1 hour",Patient 1 — Post-operative assessment is time-sensitive,Patient 2 — Possible Red Man Syndrome or allergic reaction,Patient 3 — Discharge planning prevents bed management delays,Patient 4 — Pre-therapy assessment is needed,B,Risk for Allergic Reaction
C-05,Priority,"During a disaster triage scenario, a nurse must categorize the following four casualties. Which patient should be tagged as ""immediate"" (red tag)?

Patient 1: Unconscious, no respirations even after airway repositioning
Patient 2: Open femur fracture with controlled bleeding, respiratory rate 28/min
Patient 3: Walking wounded with superficial lacerations, anxious but stable
Patient 4: Penetrating chest wound with respiratory rate 10/min, weak radial pulse",Patient 1 — Unconscious and not breathing,Patient 2 — Open fracture with tachypnea,Patient 3 — Needs wound care,Patient 4 — Penetrating chest wound with signs of shock,D,Ineffective Breathing Pattern
C-06,Priority,"A nurse is caring for a postpartum patient 6 hours after vaginal delivery. Which of the following findings requires the most urgent intervention?

A: Fundus firm at the umbilicus
B: Lochia rubra, moderate amount
C: Blood pressure 160/100 mmHg with headache
D: Perineal edema at the episiotomy site",A — Fundal position needs reassessment,B — Heavy lochia indicates potential hemorrhage,C — Hypertension with headache suggests preeclampsia risk,D — Perineal edema requires ice application,C,Risk for Decreased Cardiac Output
C-07,Priority,"A pediatric nurse is caring for four children. Which child should the nurse see first?

Child 1: 3-year-old with croup, stridor only when agitated or crying, SpO2 96%
Child 2: 8-year-old with appendicitis, NPO for surgery in 4 hours, pain 5/10
Child 3: 6-month-old with bronchiolitis, nasal flaring and intercostal retractions
Child 4: 10-year-old with a closed forearm fracture, splinted, neurovascular checks intact",Child 1 — Stridor indicates potential airway compromise,Child 2 — Pre-operative preparation is time-sensitive,Child 3 — Signs of respiratory distress in an infant,Child 4 — Fracture requires ongoing neurovascular monitoring,C,Ineffective Breathing Pattern
C-08,Priority,"A nurse working night shift receives the following call bells simultaneously from four patients. In what order should the nurse respond?

1: Patient states ""I feel like something popped in my belly"" (post-op day 7 abdominal surgery)
2: Patient requests sleeping medication
3: Patient reports blood in urine (has an indwelling catheter post-TURP)
4: Patient states ""I can't catch my breath"" (history of COPD)",4 → 1 → 3 → 2,1 → 4 → 3 → 2,4 → 3 → 1 → 2,1 → 4 → 2 → 3,A,Impaired Gas Exchange
C-09,Priority,"A nurse in a long-term care facility is planning morning care for four residents. Which resident's care should be prioritized first?

Resident 1: Requires a fasting blood glucose before breakfast tray arrives at 0800
Resident 2: Needs a scheduled wound dressing change (non-urgent chronic wound)
Resident 3: Has new-onset confusion and was oriented at bedtime last night
Resident 4: Requests assistance with morning hygiene routine",Resident 1 — Fasting glucose must be drawn before eating,Resident 2 — Wound care is a scheduled nursing task,Resident 3 — Acute change in mental status requires immediate assessment,Resident 4 — Maintaining hygiene promotes dignity,C,Acute Confusion
C-10,Priority,"A school nurse is managing the following four situations during lunch break. Which situation requires the most immediate response?

1: A teacher reports a student with head lice found during class
2: A student with known peanut allergy reports throat tightness after eating a cookie
3: A student comes in requesting acetaminophen for a headache
4: A parent calls to discuss updating their child's immunization records",Situation 1 — Head lice requires isolation to prevent spread,Situation 2 — Possible anaphylaxis requires immediate intervention,Situation 3 — Pain assessment and medication administration,Situation 4 — Immunization compliance is a school requirement,B,Risk for Allergic Reaction
