question_id,category,model,model_name,temperature,n_valid,n_errors,NCI,n_correct,accuracy
C-08,Priority,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
C-09,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
C-10,Priority,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
A-01,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-02,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-03,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-04,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-05,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-06,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-07,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-08,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
A-09,Knowledge,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
A-10,Knowledge,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
B-01,Ethical,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
B-02,Ethical,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
B-03,Ethical,claude,claude-opus-4-5,0.5,30,0,0.894579,29,0.966667
B-04,Ethical,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
B-05,Ethical,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
B-06,Ethical,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
B-07,Ethical,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
B-08,Ethical,claude,claude-opus-4-5,0.5,28,2,1.0,28,1.0
B-09,Ethical,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
B-10,Ethical,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
C-01,Priority,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
C-02,Priority,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
C-03,Priority,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
C-04,Priority,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
C-05,Priority,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
C-06,Priority,claude,claude-opus-4-5,0.5,30,0,1.0,30,1.0
C-07,Priority,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
C-08,Priority,claude,claude-opus-4-5,0.5,28,2,1.0,28,1.0
C-09,Priority,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
C-10,Priority,claude,claude-opus-4-5,0.5,29,1,1.0,29,1.0
A-01,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-02,Knowledge,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
A-03,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-04,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-05,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-06,Knowledge,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
A-07,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-08,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-09,Knowledge,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
A-10,Knowledge,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-01,Ethical,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
B-02,Ethical,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
B-03,Ethical,claude,claude-opus-4-5,1.0,29,1,0.818974,27,0.931034
B-04,Ethical,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-05,Ethical,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-06,Ethical,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-07,Ethical,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
B-08,Ethical,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-09,Ethical,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
B-10,Ethical,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
C-01,Priority,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
C-02,Priority,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
C-03,Priority,claude,claude-opus-4-5,1.0,28,2,1.0,28,1.0
C-04,Priority,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
C-05,Priority,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
C-06,Priority,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
C-07,Priority,claude,claude-opus-4-5,1.0,29,1,1.0,29,1.0
C-08,Priority,claude,claude-opus-4-5,1.0,28,2,0.704164,24,0.857143
C-09,Priority,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
C-10,Priority,claude,claude-opus-4-5,1.0,30,0,1.0,30,1.0
A-01,Knowledge,gemini,gemini-2.5-flash-lite,0.0,22,8,1.0,22,1.0
A-02,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-03,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-04,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-05,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-06,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-07,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-08,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-09,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-10,Knowledge,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-01,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-02,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-03,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,0,0.0
B-04,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-05,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-06,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-07,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-08,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-09,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
B-10,Ethical,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-01,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-02,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-03,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-04,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-05,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-06,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-07,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-08,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-09,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
C-10,Priority,gemini,gemini-2.5-flash-lite,0.0,30,0,1.0,30,1.0
A-01,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-02,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-03,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-04,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-05,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-06,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-07,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-08,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-09,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-10,Knowledge,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-01,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-02,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-03,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,0,0.0
B-04,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-05,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-06,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-07,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-08,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-09,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
B-10,Ethical,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-01,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-02,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-03,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-04,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-05,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-06,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-07,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-08,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,0.894579,29,0.966667
C-09,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
C-10,Priority,gemini,gemini-2.5-flash-lite,0.5,30,0,1.0,30,1.0
A-01,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-02,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-03,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-04,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-05,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-06,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-07,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-08,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-09,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-10,Knowledge,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-01,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-02,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-03,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,0,0.0
B-04,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-05,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-06,Ethical,gemini,gemini-2.5-flash-lite,1.0,29,1,1.0,29,1.0
B-07,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-08,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
B-09,Ethical,gemini,gemini-2.5-flash-lite,1.0,29,1,1.0,29,1.0
B-10,Ethical,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-01,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-02,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-03,Priority,gemini,gemini-2.5-flash-lite,1.0,29,1,1.0,29,1.0
C-04,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-05,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-06,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-07,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-08,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,0.716745,26,0.866667
C-09,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
C-10,Priority,gemini,gemini-2.5-flash-lite,1.0,30,0,1.0,30,1.0
A-01,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,0.894579,29,0.966667
A-02,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-03,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-04,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-05,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-06,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-07,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-08,Knowledge,gemini,gemini-2.5-flash-lite,1.5,29,1,1.0,29,1.0
A-09,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-10,Knowledge,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-01,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-02,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,0.894579,29,0.966667
B-03,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,0,0.0
B-04,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-05,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-06,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-07,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,0.82332,28,0.933333
B-08,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
B-09,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,0.674989,25,0.833333
B-10,Ethical,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-01,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-02,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,0.894579,29,0.966667
C-03,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-04,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-05,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-06,Priority,gemini,gemini-2.5-flash-lite,1.5,28,2,1.0,28,1.0
C-07,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-08,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,0.82332,28,0.933333
C-09,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
C-10,Priority,gemini,gemini-2.5-flash-lite,1.5,30,0,1.0,30,1.0
A-01,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-02,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-03,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-04,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-05,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-06,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-07,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-08,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-09,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-10,Knowledge,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-01,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-02,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-03,Ethical,gpt,gpt-4o,0.0,30,0,1.0,0,0.0
B-04,Ethical,gpt,gpt-4o,0.0,30,0,0.559355,21,0.7
B-05,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-06,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-07,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-08,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
B-09,Ethical,gpt,gpt-4o,0.0,30,0,1.0,0,0.0
B-10,Ethical,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-01,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-02,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-03,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-04,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-05,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-06,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-07,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-08,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-09,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
C-10,Priority,gpt,gpt-4o,0.0,30,0,1.0,30,1.0
A-01,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-02,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-03,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-04,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-05,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-06,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-07,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-08,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-09,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-10,Knowledge,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-01,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-02,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-03,Ethical,gpt,gpt-4o,0.5,30,0,1.0,0,0.0
B-04,Ethical,gpt,gpt-4o,0.5,30,0,0.514525,12,0.4
B-05,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-06,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-07,Ethical,gpt,gpt-4o,0.5,30,0,0.82332,28,0.933333
B-08,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
B-09,Ethical,gpt,gpt-4o,0.5,30,0,0.765502,3,0.1
B-10,Ethical,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-01,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-02,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-03,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-04,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-05,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-06,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-07,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-08,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-09,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
C-10,Priority,gpt,gpt-4o,0.5,30,0,1.0,30,1.0
A-01,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-02,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-03,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-04,Knowledge,gpt,gpt-4o,1.0,30,0,0.765502,27,0.9
A-05,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-06,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-07,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-08,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-09,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-10,Knowledge,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-01,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-02,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-03,Ethical,gpt,gpt-4o,1.0,30,0,1.0,0,0.0
B-04,Ethical,gpt,gpt-4o,1.0,30,0,0.41166,14,0.466667
B-05,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-06,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-07,Ethical,gpt,gpt-4o,1.0,30,0,0.639036,24,0.8
B-08,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
B-09,Ethical,gpt,gpt-4o,1.0,30,0,0.674989,5,0.166667
B-10,Ethical,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-01,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-02,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-03,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-04,Priority,gpt,gpt-4o,1.0,29,1,1.0,29,1.0
C-05,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-06,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-07,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-08,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-09,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
C-10,Priority,gpt,gpt-4o,1.0,30,0,1.0,30,1.0
A-01,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-02,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-03,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-04,Knowledge,gpt,gpt-4o,1.5,30,0,0.765502,27,0.9
A-05,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-06,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-07,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-08,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-09,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
A-10,Knowledge,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-01,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-02,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-03,Ethical,gpt,gpt-4o,1.5,30,0,0.82332,2,0.066667
B-04,Ethical,gpt,gpt-4o,1.5,30,0,0.330866,18,0.6
B-05,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-06,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-07,Ethical,gpt,gpt-4o,1.5,30,0,0.483866,21,0.7
B-08,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
B-09,Ethical,gpt,gpt-4o,1.5,30,0,0.509204,7,0.233333
B-10,Ethical,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-01,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-02,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-03,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-04,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-05,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-06,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-07,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-08,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-09,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
C-10,Priority,gpt,gpt-4o,1.5,30,0,1.0,30,1.0
