item_uid,category,recent,k,key_letter,stem,options,prompt
113_2024-AM-60,EthicalLegal,Y,4,C,日本の人工妊娠中絶で正しいのはどれか。,配偶者の同意が必須である。 | 妊娠10 週以降は死産の届出が必要である。 | 実施が可能なのは妊娠22 週未満の場合である。 | 実施率は母の年齢が20〜24 歳よりも20 歳未満の方が高い。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

日本の人工妊娠中絶で正しいのはどれか。
1. 配偶者の同意が必須である。
2. 妊娠10 週以降は死産の届出が必要である。
3. 実施が可能なのは妊娠22 週未満の場合である。
4. 実施率は母の年齢が20〜24 歳よりも20 歳未満の方が高い。

答え："
113_2024-AM-64,EthicalLegal,Y,4,B,患者とその家族や医療者が患者にとって望ましい治療を探り、お互いが納得する 治療を選択できるようにしていくのはどれか。,心理教育 | 共同意思決定 | ストレングス | アドヒアランス,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

患者とその家族や医療者が患者にとって望ましい治療を探り、お互いが納得する 治療を選択できるようにしていくのはどれか。
1. 心理教育
2. 共同意思決定
3. ストレングス
4. アドヒアランス

答え："
112_2023-AM-54,EthicalLegal,Y,4,D,高齢者の身体拘束に関する説明で適切なのはどれか。,身体拘束の実施は担当看護師が決定する。 | ミトン型の手袋の使用は身体拘束ではない。 | 本人が身体拘束に同意していれば家族への説明は不要である。 | 切迫性、非代替性および一時性の全てを満たしている場合に検討される。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

高齢者の身体拘束に関する説明で適切なのはどれか。
1. 身体拘束の実施は担当看護師が決定する。
2. ミトン型の手袋の使用は身体拘束ではない。
3. 本人が身体拘束に同意していれば家族への説明は不要である。
4. 切迫性、非代替性および一時性の全てを満たしている場合に検討される。

答え："
112_2023-AM-66,EthicalLegal,Y,4,D,患者の権利や力を尊重し、自己制御している感覚を持たせ、患者が社会生活に必 要な技能や能力を獲得する支援を意味するのはどれか。,リカバリ | ストレングス | レジリエンス | エンパワメント,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

患者の権利や力を尊重し、自己制御している感覚を持たせ、患者が社会生活に必 要な技能や能力を獲得する支援を意味するのはどれか。
1. リカバリ
2. ストレングス
3. レジリエンス
4. エンパワメント

答え："
111_2022-AM-60,EthicalLegal,Y,4,C,A 君 小学 年生!は病院に併設された院内学級に通いながら骨肉腫のosteosarcoma治療を続 けていた。現在、肺転移があり終末期にある。呼吸障害のため鼻腔カニューレで酸 素 L/分!を吸入中である。A 君の食事摂取量は減っているが意識は清明である。 週後に院内で卒業式が予定されている。A 君は「卒業式に出席したい」と話して いる。 看護師のA 君への対応として適切なのはどれか。,両親に判断してもらおうと話す。 | 今の状態では出席は難しいと話す。 | 出席できるように準備しようと話す。 | 出席を決める前に体力をつけようと話す。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A 君 小学 年生!は病院に併設された院内学級に通いながら骨肉腫のosteosarcoma治療を続 けていた。現在、肺転移があり終末期にある。呼吸障害のため鼻腔カニューレで酸 素 L/分!を吸入中である。A 君の食事摂取量は減っているが意識は清明である。 週後に院内で卒業式が予定されている。A 君は「卒業式に出席したい」と話して いる。 看護師のA 君への対応として適切なのはどれか。
1. 両親に判断してもらおうと話す。
2. 今の状態では出席は難しいと話す。
3. 出席できるように準備しようと話す。
4. 出席を決める前に体力をつけようと話す。

答え："
111_2022-AM-73,EthicalLegal,Y,4,A,多発性骨転移がある終末期の大腸癌患 者 53 歳、女性!が、外科病棟から緩和ケ colon cancer ア病棟に夫に付き添われ転棟してきた。 転棟時の申し送りについて、緩和ケア病棟の看護師が外科病棟の看護師から収集 する情報で最も優先すべきなのはどれか。,痛コントロールの状況 | 自宅の居住環境 | 大腸癌の術式 colon cancer | 夫の面会頻度,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

多発性骨転移がある終末期の大腸癌患 者 53 歳、女性!が、外科病棟から緩和ケ colon cancer ア病棟に夫に付き添われ転棟してきた。 転棟時の申し送りについて、緩和ケア病棟の看護師が外科病棟の看護師から収集 する情報で最も優先すべきなのはどれか。
1. 痛コントロールの状況
2. 自宅の居住環境
3. 大腸癌の術式 colon cancer
4. 夫の面会頻度

答え："
110_2021-AM-29,EthicalLegal,N,4,A,医師、歯科医師、薬剤師、看護師その他の医療の担い手は、医療を提供するにあ たり、適切な説明を行い、医療を受ける者の理解を得るよう努めなければならない ことを定めているのはどれか。,医療法 | 健康保険法 | 地域保健法 | 個人情報の保護に関する法律,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

医師、歯科医師、薬剤師、看護師その他の医療の担い手は、医療を提供するにあ たり、適切な説明を行い、医療を受ける者の理解を得るよう努めなければならない ことを定めているのはどれか。
1. 医療法
2. 健康保険法
3. 地域保健法
4. 個人情報の保護に関する法律

答え："
110_2021-AM-52,EthicalLegal,N,4,B,養育医療が定められている法律はどれか。,児童福祉法 | 母子保健法 | 発達障害者支援法 | 児童虐待の防止等に関する法律,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

養育医療が定められている法律はどれか。
1. 児童福祉法
2. 母子保健法
3. 発達障害者支援法
4. 児童虐待の防止等に関する法律

答え："
110_2021-PM-43,EthicalLegal,N,4,C,現在の日本の終末期医療において、患者の将来の自己決定能力の低下に備えて、 患者・家族と医療者が今後の治療・療養についての気がかりや価値観を定期的に話 し合って共有し、患者の意向に沿った医療を提供することが望ましいとされてい る。 この内容を示すのはどれか。,グリーフケア | 代理意思決定の支援 | アドバンス・ケア・プランニング | アドバンスディレクティブz事前指示}の支援,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

現在の日本の終末期医療において、患者の将来の自己決定能力の低下に備えて、 患者・家族と医療者が今後の治療・療養についての気がかりや価値観を定期的に話 し合って共有し、患者の意向に沿った医療を提供することが望ましいとされてい る。 この内容を示すのはどれか。
1. グリーフケア
2. 代理意思決定の支援
3. アドバンス・ケア・プランニング
4. アドバンスディレクティブz事前指示}の支援

答え："
109_2020-PM-35,EthicalLegal,N,4,B,高齢者の虐待防止、高齢者の養護者に対する支援等に関する法律高齢者虐待防 止法で、措置された高齢者が入所する社会福祉施設はどれか。,有料老人ホーム | 特別養護老人ホーム | 高齢者生活福祉センター | サービス付き高齢者向け住宅,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

高齢者の虐待防止、高齢者の養護者に対する支援等に関する法律高齢者虐待防 止法で、措置された高齢者が入所する社会福祉施設はどれか。
1. 有料老人ホーム
2. 特別養護老人ホーム
3. 高齢者生活福祉センター
4. サービス付き高齢者向け住宅

答え："
109_2020-PM-38,EthicalLegal,N,4,D,判断能力のある成人患者へのインフォームド・コンセントにおける看護師の対応 で適切なのはどれか。,患者の疑問には専門用語を用いて回答する。 | 今後の治療に関しては医療者に任せるように話す。 | 治療方針への同意は撤回できないことを説明する。 | 納得ができるまで医師からの説明が受けられることを伝える。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

判断能力のある成人患者へのインフォームド・コンセントにおける看護師の対応 で適切なのはどれか。
1. 患者の疑問には専門用語を用いて回答する。
2. 今後の治療に関しては医療者に任せるように話す。
3. 治療方針への同意は撤回できないことを説明する。
4. 納得ができるまで医師からの説明が受けられることを伝える。

答え："
109_2020-PM-60,EthicalLegal,N,4,B,A ちゃん 歳、女児!は、インフルエンザ脳症 の終末期である。A ちゃんに意 influenza encephalopathy 識はなく、付き添っている母親は「私がもっと早く病院に連れて来ればこんなこと にならなかったのに」と病室で泣いている。 A ちゃんの母親への対応で適切なのはどれか。,母親に受診が遅くなった状況を聞く。 | 母親がA ちゃんに対してできるケアを提案する。 | 病気で亡くなった子どもの親の会を母親に紹介する。 | 母親が泣いている間はA ちゃんの病室に居ることができないと母親に説明 する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A ちゃん 歳、女児!は、インフルエンザ脳症 の終末期である。A ちゃんに意 influenza encephalopathy 識はなく、付き添っている母親は「私がもっと早く病院に連れて来ればこんなこと にならなかったのに」と病室で泣いている。 A ちゃんの母親への対応で適切なのはどれか。
1. 母親に受診が遅くなった状況を聞く。
2. 母親がA ちゃんに対してできるケアを提案する。
3. 病気で亡くなった子どもの親の会を母親に紹介する。
4. 母親が泣いている間はA ちゃんの病室に居ることができないと母親に説明 する。

答え："
109_2020-PM-69,EthicalLegal,N,4,B,医療保護入院で正しいのはどれか。,入院の期間は72 時間に限られる。 | 患者の家族等の同意で入院させることができる。 | 人以上の精神保健指定医による診察の結果で入院となる。 | 精神障害のために他人に害を及ぼすおそれが明らかな者が対象である。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

医療保護入院で正しいのはどれか。
1. 入院の期間は72 時間に限られる。
2. 患者の家族等の同意で入院させることができる。
3. 人以上の精神保健指定医による診察の結果で入院となる。
4. 精神障害のために他人に害を及ぼすおそれが明らかな者が対象である。

答え："
108_2019-AM-59,EthicalLegal,N,4,A,乳幼児健康診査を規定しているのはどれか。,母子保健法 | 児童福祉法 | 次世代育成支援対策推進法 | 児童虐待の防止等に関する法律,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

乳幼児健康診査を規定しているのはどれか。
1. 母子保健法
2. 児童福祉法
3. 次世代育成支援対策推進法
4. 児童虐待の防止等に関する法律

答え："
108_2019-AM-63,EthicalLegal,N,4,C,平成16 年 2004 年!に性同一性障害者の性別の取扱いの特例に関する法律が施行 され、戸籍上の性別を変更することが可能になった。 その変更の条件で正しいのはどれか。,15 歳以上であること | うつ症状を呈していること | 現に未成年の子がいないこと | 両親の同意が得られていること,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

平成16 年 2004 年!に性同一性障害者の性別の取扱いの特例に関する法律が施行 され、戸籍上の性別を変更することが可能になった。 その変更の条件で正しいのはどれか。
1. 15 歳以上であること
2. うつ症状を呈していること
3. 現に未成年の子がいないこと
4. 両親の同意が得られていること

答え："
108_2019-PM-48,EthicalLegal,N,4,D,判断能力が不十分な認知症高齢者の権利擁護を目的とするのはどれか。,公的年金制度 | 生活保護制度 | 後期高齢者医療制度 | 日常生活自立支援事業,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

判断能力が不十分な認知症高齢者の権利擁護を目的とするのはどれか。
1. 公的年金制度
2. 生活保護制度
3. 後期高齢者医療制度
4. 日常生活自立支援事業

答え："
108_2019-PM-70,EthicalLegal,N,4,D,診療情報の取り扱いで適切なのはどれか。,診療情報の開示請求は患者本人に限られる。 | 医療者は患者が情報提供を受けることを拒んでも説明する。 | 類感染症の届出は患者本人の同意を得なければならない。 | 他院へのセカンドオピニオンを希望する患者に診療情報を提供する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

診療情報の取り扱いで適切なのはどれか。
1. 診療情報の開示請求は患者本人に限られる。
2. 医療者は患者が情報提供を受けることを拒んでも説明する。
3. 類感染症の届出は患者本人の同意を得なければならない。
4. 他院へのセカンドオピニオンを希望する患者に診療情報を提供する。

答え："
107_2018-AM-32,EthicalLegal,N,4,A,良質の医療を受ける権利を宣言しているのはどれか。,リスボン宣言 | ヘルシンキ宣言 | ジュネーブ宣言 | ニュルンベルク綱領,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

良質の医療を受ける権利を宣言しているのはどれか。
1. リスボン宣言
2. ヘルシンキ宣言
3. ジュネーブ宣言
4. ニュルンベルク綱領

答え："
107_2018-AM-60,EthicalLegal,N,4,A,養護者による虐待を受けたと思われる高齢者を発見した者が、高齢者虐待の防 止、高齢者の養護者に対する支援等に関する法律2高齢者虐待防止法3に基づき通報 する先として正しいのはどれか。,市町村 | 警察署 | 消防署 | 訪問看護事業所,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

養護者による虐待を受けたと思われる高齢者を発見した者が、高齢者虐待の防 止、高齢者の養護者に対する支援等に関する法律2高齢者虐待防止法3に基づき通報 する先として正しいのはどれか。
1. 市町村
2. 警察署
3. 消防署
4. 訪問看護事業所

答え："
107_2018-AM-78,EthicalLegal,N,5,C,A ちゃん 歳、女児!は、白血病 の終末期で入院しているが、病状は安定して leukemia いる。両親と姉のB ちゃん 10 歳!の 人家族である。 A ちゃんの家族へ看護師が伝える内容として適切なのはどれか。,「A ちゃんは外出できません」 | 「B ちゃんは面会できません」 | 「A ちゃんが食べたい物を食べて良いです」 | 「A ちゃんよりもご家族の意思を優先します」 | 「A ちゃんに終末期であることは伝えないでください」,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A ちゃん 歳、女児!は、白血病 の終末期で入院しているが、病状は安定して leukemia いる。両親と姉のB ちゃん 10 歳!の 人家族である。 A ちゃんの家族へ看護師が伝える内容として適切なのはどれか。
1. 「A ちゃんは外出できません」
2. 「B ちゃんは面会できません」
3. 「A ちゃんが食べたい物を食べて良いです」
4. 「A ちゃんよりもご家族の意思を優先します」
5. 「A ちゃんに終末期であることは伝えないでください」

答え："
115_2026-AM-59,Priority,Y,4,C,A さん(89 歳、女性)は災害によって自宅が損壊し、避難所で生活を始めた。看 護師が面談を行うと「食欲がない。横になっても眠れず、すぐに目が覚めてしまう」 と話し、元気がない様子である。避難所ではトイレと食事以外はほとんど動かずに 過ごしている。A さんには被災前の通院歴はなく、日常生活動作〈ADL〉は自立し ている。 看護師の対応で優先度が高いのはどれか。,頑張るように言葉をかける。 | 直ちに入院できる病院を探す。 | 軽い運動ができるように環境を整える。 | 睡眠薬の処方について医師と相談する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん(89 歳、女性)は災害によって自宅が損壊し、避難所で生活を始めた。看 護師が面談を行うと「食欲がない。横になっても眠れず、すぐに目が覚めてしまう」 と話し、元気がない様子である。避難所ではトイレと食事以外はほとんど動かずに 過ごしている。A さんには被災前の通院歴はなく、日常生活動作〈ADL〉は自立し ている。 看護師の対応で優先度が高いのはどれか。
1. 頑張るように言葉をかける。
2. 直ちに入院できる病院を探す。
3. 軽い運動ができるように環境を整える。
4. 睡眠薬の処方について医師と相談する。

答え："
115_2026-PM-46,Priority,Y,4,D,A さん(58 歳、男性)は農作業中に有機リン系殺虫剤を散布していたところ、急 な嘔気と頭痛、呼吸困難が出現したため救急搬送された。搬入時、呼吸は促迫で流 涎があり、縮瞳が認められた。 A さんに直ちに投与される薬剤はどれか。,ビタミンK 製剤 | オキシコドン塩酸塩 | バンコマイシン塩酸塩 | アトロピン硫酸塩水和物,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん(58 歳、男性)は農作業中に有機リン系殺虫剤を散布していたところ、急 な嘔気と頭痛、呼吸困難が出現したため救急搬送された。搬入時、呼吸は促迫で流 涎があり、縮瞳が認められた。 A さんに直ちに投与される薬剤はどれか。
1. ビタミンK 製剤
2. オキシコドン塩酸塩
3. バンコマイシン塩酸塩
4. アトロピン硫酸塩水和物

答え："
115_2026-PM-69,Priority,Y,4,C,A さん(40 歳、男性)は数年前に 統合失調症と診断された。最近、仕事を辞め schizophrenia て、訪問看護を利用しながら1 人で暮らしている。訪問看護師に「病気になってか ら孤独だ。これからどのように生きていけば良いか、同じような体験をしている人 と話してみたい」と打ち明けた。 A さんの支援を行う上で連携する者として優先度が高いのはどれか。,公認心理師 | 成年後見人 | ピアサポーター | 就労継続支援事業所の管理者,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん(40 歳、男性)は数年前に 統合失調症と診断された。最近、仕事を辞め schizophrenia て、訪問看護を利用しながら1 人で暮らしている。訪問看護師に「病気になってか ら孤独だ。これからどのように生きていけば良いか、同じような体験をしている人 と話してみたい」と打ち明けた。 A さんの支援を行う上で連携する者として優先度が高いのはどれか。
1. 公認心理師
2. 成年後見人
3. ピアサポーター
4. 就労継続支援事業所の管理者

答え："
114_2025-PM-56,Priority,Y,4,D,A さん 81 歳、男性!は、大腸内視鏡検査を受けることになった。 検査前にA さんへ看護師が確認する項目で最も優先されるのはどれか。,義歯の使用 | 白内障 の有無 cataract | 保持できない姿勢 | 前立腺肥大症の 有無 prostatic hyperplasia,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん 81 歳、男性!は、大腸内視鏡検査を受けることになった。 検査前にA さんへ看護師が確認する項目で最も優先されるのはどれか。
1. 義歯の使用
2. 白内障 の有無 cataract
3. 保持できない姿勢
4. 前立腺肥大症の 有無 prostatic hyperplasia

答え："
114_2025-PM-57,Priority,Y,4,C,全身麻酔下で肺切除術を受ける高齢者への説明で優先度が高いのはどれか。,術前にベッド上で排泄の練習をすること | 術前に手術部看護師の訪問があること | 術前に深呼吸や排痰の練習をすること | 術後に四肢の自動運動をすること,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

全身麻酔下で肺切除術を受ける高齢者への説明で優先度が高いのはどれか。
1. 術前にベッド上で排泄の練習をすること
2. 術前に手術部看護師の訪問があること
3. 術前に深呼吸や排痰の練習をすること
4. 術後に四肢の自動運動をすること

答え："
113_2024-PM-60,Priority,Y,4,B,順調に分娩が進行している妊娠40 週 日の初産婦から「腟から水っぽいものが流 れ、下着が濡れた」とナースコールがあった。看護師が流出したものを確認すると、 量は少量で、羊水特有の臭いを認めた。 このときの産婦への対応で優先度が高いのはどれか。,バイタルサインを測定する。 | 胎児心拍数を確認する。 | 食事摂取を勧める。 | 更衣を促す。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

順調に分娩が進行している妊娠40 週 日の初産婦から「腟から水っぽいものが流 れ、下着が濡れた」とナースコールがあった。看護師が流出したものを確認すると、 量は少量で、羊水特有の臭いを認めた。 このときの産婦への対応で優先度が高いのはどれか。
1. バイタルサインを測定する。
2. 胎児心拍数を確認する。
3. 食事摂取を勧める。
4. 更衣を促す。

答え："
112_2023-AM-69,Priority,Y,4,D,A さん 80 歳、女性!は 人暮らしで、在宅酸素療法ïHOTñを受けている。訪問 看護師はA さんに停電時を想定した避難行動の指導を行うことにした。 A さんの停電時の避難行動で優先度が高いのはどれか。,電気のブレーカーを落とす。 | 玄関の扉を開けて出口を確保する。 | 訪問看護ステーションに連絡をする。 | 酸素濃縮器から酸素ボンベに切り替える。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん 80 歳、女性!は 人暮らしで、在宅酸素療法ïHOTñを受けている。訪問 看護師はA さんに停電時を想定した避難行動の指導を行うことにした。 A さんの停電時の避難行動で優先度が高いのはどれか。
1. 電気のブレーカーを落とす。
2. 玄関の扉を開けて出口を確保する。
3. 訪問看護ステーションに連絡をする。
4. 酸素濃縮器から酸素ボンベに切り替える。

答え："
